Name;Credit;Acronym;SemesterId;SectorId
Bases théoriques de la communication;4;ThéoCom;1;5
Bases pratiques de la communication;7;BasPratCom;2;5
Bases théoriques et pratiques du marketing;4;BaseMark;1;5
Analyse de marché et stratégie marketing;4;AnaStraMar;2;5
Evolution et métiers des médias;6;EvMétMéd;2;5
Economie des médias;3;EcoMédia;1;5
Gestion budgétaire;3;GesBudget;2;5
Bases scientifiques et techniques;8;BaScienTec;1;5
Technologies des médias;5;TecMédias;1;5
Bases scientifiques et conceptuelles;6;BaScienCo;2;5
Technologies web;5;TecWeb;2;5
Anglais;5;Lang;1;5
Contenus média;6;ContMédia;3;5
Conception de produit média;4;ConProdMéd;4;5
E-commerce et marketing stratégique;4;Emarket;3;5
Vendre un produit média;3;VendreProd;4;5
Applications Web;8;AppWeb;3;5
Interfaces et interactions utilisateur;6;InterUtil;4;5
Interopérabilité et infrastructure;4;InterInfra;3;5
Développement de produit média;4;DévProdMéd;4;5
Gestion de projet;4;GesProj;3;5
Modèles d'affaires des médias;3;ModAffMéd;4;5
Sociologie des médias;3;Socio;3;5
Droit des médias;2;DroitMéd;4;5
Méthodologie de recherche;2;MétRecher;3;5
Veille sociétale;2;VeillSoc;4;5
Projet d'articulation;5;ProjArt;4;5
Développement hypermédia;6;DévHyper;5;5
Evaluation et optimisation de produit/processus média;4;EvalPro;5;5
Rentabilité de projets/produits;4;Renta;5;5
User eXperience lab;6;UserExLab;5;5
Veille technologique;3;VeillTech;5;5
Digital trends;5;DigiTrends;6;5
Profil professionnel;3;ProfilPro;5;5
Innovation Crunch Time;2;CRUNCH;6;5
Projet d'intégration;7;ProjInt;6;5
Stage professionnel;6;Stage;6;5
Travail de Bachelor;14;TB;6;5
